<<<<<<< HEAD
Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,CBS,CCL,CHTR,CMCSA,CMG,DG,DHI,DIS,DISCA,DISCK,DISH,DLTR,DRI,EXPE,F,FL,FOX,FOXA,GM,GPC,GPS,GRMN,GT,HAS,HBI,HD,HLT,HOG,HRB,IPG,JWN,KMX,KORS,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NFLX,NKE,NWL,NWS,NWSA,OMC,ORLY,PHM,PVH,RCL,RL,ROST,SBUX,SIG,SNI,TGT,TIF,TJX,TPR,TRIP,TSCO,TWX,UA,UAA,ULTA,VFC,VIAB,WHR,WYN,WYNN,YUM
2017-12-11,100.788628,1168.920044,85.889999,708.6099849999999,63.211245999999996,,53.378223,57.480762,66.596489,331.48999,38.288349,313.390015,93.096436,50.32959,106.83000200000001,19.77,18.440001000000002,49.43,107.07,85.998001,117.50453200000001,12.277648,44.123604,33.110302000000004,33.500473,41.250427,92.755623,33.373104,59.914722,31.285919,91.11571500000001,20.500505,181.21653700000002,77.326164,50.040684000000006,27.261646000000002,20.021616,45.504009,67.970001,61.040001000000004,49.971649,57.263916,45.410877,61.64518,40.34,85.212563,25.188236,128.27113300000002,15.37,172.16085800000002,33.225231,277.369995,54.720001,186.220001,61.723296999999995,30.66437,16.799704000000002,16.489758,73.241943,247.24000499999997,33.707027000000004,134.525803,124.23793799999999,100.700264,76.535179,58.751335,52.450821,81.53270699999999,61.254169,95.369675,72.996323,41.114014000000005,35.32,66.87442,90.426704,12.18,13.5,216.13999900000002,72.14563000000001,29.081986999999998,166.733154,112.111549,163.761215,82.069801
2017-12-12,102.9673,1165.079956,85.66999799999999,711.049988,63.111889,,53.19883299999999,57.76976,66.119598,329.98999,39.35413,318.380005,90.982201,49.860893,107.43,19.65,18.32,49.630001,106.220001,86.584236,118.36216,12.297168,44.28257,33.438717,33.938385,41.111839,92.001595,33.730675,59.112122,31.445288,91.4636,20.798336,180.769104,76.857033,50.267288,27.3013,20.28923,45.404742999999996,66.860001,61.119999,49.803295,57.589783,45.617653000000004,61.395320999999996,40.59,84.664665,24.993658,128.460678,14.62,171.14726299999998,32.597401,275.339996,53.650002,185.729996,61.982513,30.902386,16.45178,16.121994,73.310822,246.86000099999998,33.587391,132.906219,122.633591,99.655342,76.186203,58.950256,52.709297,81.383224,60.520233,94.538139,73.315002,41.233212,35.099998,67.561584,90.257439,12.38,13.59,214.86999500000002,72.076073,29.210321,165.38235500000002,111.35578899999999,161.817139,81.611923
2017-12-13,102.43762199999999,1164.130005,83.559998,708.210022,63.976299,,52.142433000000004,56.972522999999995,64.98696899999999,329.0,38.427803000000004,319.700012,91.391083,49.671425,107.610001,19.790001,18.5,48.990002000000004,105.589996,87.041306,118.22254199999999,12.326447,45.057541,32.184769,32.594788,40.98315,92.527435,34.028648,59.316894999999995,31.644496999999998,94.872864,21.086235000000002,181.99211100000002,76.60749799999999,50.257435,27.073292,19.972054999999997,45.930859000000005,67.470001,61.099998,50.229137,58.083523,45.56842,61.075504,40.07,85.27233100000001,25.129864,128.171356,15.59,172.458969,33.045853,275.51001,53.16,187.860001,64.106094,31.140402,16.402077,16.181631,72.523697,245.919998,33.218517,132.576309,120.51426699999999,95.75431800000001,76.74455999999999,59.169070999999995,53.5742,81.28355400000001,62.156718999999995,95.13209499999999,73.59384200000001,41.988144,34.709998999999996,67.641258,89.66999100000001,12.36,13.62,215.02999900000003,72.602753,29.14122,165.90876799999998,111.17678799999999,164.349426,81.81100500000001
2017-12-14,100.139015,1174.26001,83.050003,701.22998,63.340412,,51.365082,57.929207,64.758453,328.679993,38.965668,314.019989,90.543396,50.199946999999995,110.57,20.040001,18.65,48.52,104.650002,86.405388,119.568817,12.160532,44.044121000000004,34.055744,34.714690999999995,40.39909,90.761414,32.955944,58.471199,31.176353000000002,95.290329,21.106091,181.097229,75.878853,49.637221999999994,26.656933000000002,20.001791,44.630459,67.089996,61.41,49.298229,57.83665500000001,45.637886,61.105484,39.310001,85.252411,24.485634,127.423103,16.24,172.051544,32.716991,273.559998,52.810001,189.559998,64.335396,30.228006,16.352375,16.121994,71.923508,241.44999700000002,32.949341,131.65653999999998,120.484558,96.381264,75.288841,59.377937,52.947891000000006,81.16397099999999,61.432697,98.339462,73.115822,42.534477,34.490002000000004,66.505936,89.261772,12.45,13.82,217.169998,72.890938,29.528840999999996,162.809906,110.152527,164.498962,81.661697
2017-12-15,100.63871800000001,1179.140015,84.400002,697.0599980000001,64.900322,,51.355109999999996,58.696548,65.52346800000001,322.309998,39.553340999999996,312.119995,90.683014,50.439281,111.269997,21.040001,19.75,48.57,106.290001,87.846138,120.546104,12.277648,45.35561,34.055744,34.824172999999995,40.537678,91.257492,33.333378,57.389488,31.335720000000002,93.501205,21.304642,181.544678,76.946861,50.073853,26.964246999999997,20.279318,45.156578,67.730003,61.650002,50.853035,57.382416000000006,46.421837,61.365341,39.509997999999996,86.358162,24.278295999999997,129.518234,15.48,172.96575900000002,32.766815,274.709991,54.0,190.119995,64.594612,30.337099,16.252968,15.923202999999999,73.21243299999999,240.19999700000002,33.328182,134.00593600000002,123.881409,95.644852,75.73751800000001,57.97554399999999,53.435019999999994,82.927963,62.09721,100.319321,73.862717,42.544411,35.029999,68.139206,89.859169,13.62,15.17,218.25,73.944313,30.055611,163.376053,111.982277,165.525833,81.92049399999999
2017-12-18,102.647491,1190.579956,84.239998,704.400024,66.579468,,52.012871000000004,58.796204,66.16926600000001,323.230011,39.384014,313.420013,92.298615,51.306862,111.029999,21.639999,20.41,49.849998,109.099998,89.96255500000001,121.62312299999999,12.355725,46.269672,34.3344,35.02322,41.725597,92.706017,34.197502,57.655003,31.853665999999997,90.996445,20.967104,183.68248,77.94500699999999,51.254749,27.459913,20.150467000000003,46.288219,68.519997,63.189999,52.764359,60.246101,46.779078999999996,62.324799,40.389998999999996,87.105293,25.522323999999998,133.030029,14.84,173.104874,32.836575,275.140015,54.98,190.419998,64.614548,30.585032,16.501484,16.231329000000002,72.87518299999999,245.88000499999998,33.736934999999995,136.27536,125.357018,97.585411,77.332832,57.71694599999999,54.598164000000004,83.107353,63.555172,99.596672,75.157333,43.200012,35.459998999999996,68.916,89.401161,14.24,15.65,222.66000400000001,73.675995,30.473049,164.240158,113.84185,164.628571,82.726761
2017-12-19,99.669312,1187.380005,85.620003,701.01001,65.377243,,52.022839000000005,59.254612,67.68937700000001,316.97000099999997,38.985592,313.170013,91.84983100000001,50.658669,111.809998,22.01,20.84,48.470001,109.16999799999999,96.073334,121.124504,12.385003999999999,45.911995000000005,34.205021,34.893840999999995,42.062176,92.27939599999999,34.078312,57.60583100000001,32.042915,91.11571500000001,20.718914,184.925385,77.665527,50.798266999999996,27.390518,20.209936,46.169098,67.849998,63.360001000000004,52.368233000000004,59.584492000000004,46.580608000000005,61.84506999999999,40.799999,88.519859,24.92993,132.83050500000002,15.1,172.299973,32.726952000000004,276.559998,55.59,187.020004,64.046272,30.555279,16.551188,16.171692,73.27194200000001,243.02999900000003,33.268364,136.565292,125.32730900000001,96.858948,78.309967,57.697052,52.93795,83.486069,63.535332,99.905075,75.744888,43.190075,34.77,70.21067,89.490768,14.1,15.43,227.47000099999997,73.38781,30.741404,164.975143,112.926971,165.63549799999998,82.477913
2017-12-20,98.529999,1177.619995,85.870003,700.900024,66.30127,,52.879920999999996,59.872475,67.26215400000001,316.380005,39.224644,298.670013,91.48084300000001,50.638725,109.690002,22.370001000000002,21.120001000000002,48.700001,108.91999799999999,95.05983,119.678513,12.414284,45.991482,33.697472,34.107582,42.091869,92.487747,34.088245,57.82216999999999,32.291927,90.559105,20.15304,186.247849,78.20452900000001,50.321940999999995,27.608614000000003,19.972054999999997,46.496681,68.470001,63.720001,52.615809999999996,59.643742,46.669922,62.524685,40.740002000000004,89.844765,25.008915,133.52886999999998,15.12,171.087646,33.045853,277.549988,54.82,188.820007,63.39823199999999,29.960239,16.501484,16.141872,73.400887,242.05000299999998,33.437847,135.58554099999998,122.869522,98.1427,79.37683100000001,57.418564,53.792912,83.56579599999999,63.951896999999995,99.53698,75.48597,42.991409000000004,34.459998999999996,72.670532,90.187744,13.72,15.17,226.0,73.934372,30.999816999999997,163.76341200000002,112.20105,168.43696599999998,81.751274
2017-12-21,100.129997,1174.76001,84.980003,705.909973,66.649017,,51.823516999999995,60.320915,65.91095,332.940002,40.649002,292.399994,91.391083,50.788307,109.57,23.360001,22.16,49.119999,108.470001,94.45371999999999,119.73834199999999,12.326447,47.670582,34.364253999999995,34.943604,41.735496999999995,93.787453,34.217369,58.186016,32.441338,92.27864100000001,20.043837,187.013489,79.22264100000001,51.413525,26.46858,20.05135,47.15184,66.0,64.029999,52.952521999999995,59.831364,47.027164,63.714012,40.900002,90.382698,25.245872,133.638626,15.71,170.769653,33.613888,277.859985,54.139998999999996,188.619995,64.574669,30.495775,16.551188,16.241267999999998,73.48024000000001,241.5,33.667149,135.575546,121.148071,100.431564,79.905273,57.269375,55.423302,85.419495,64.685837,101.934616,75.98389399999999,43.974808,34.740002000000004,74.084709,92.547478,13.95,15.51,228.57000699999998,73.765434,31.566340999999998,168.46138,112.738037,167.998306,82.119568
2017-12-22,100.550003,1168.359985,84.790001,710.090027,66.678825,,51.5345,59.962157999999995,65.92088299999999,338.200012,40.619118,295.230011,92.657639,50.688587,108.66999799999999,23.73,22.469998999999998,48.529999,109.459999,95.785179,119.84803799999999,12.277648,46.955223,34.553345,35.072987,41.596905,94.3629,34.207432,58.195854000000004,32.72023,92.984352,20.262242999999998,187.063202,79.202667,51.443295,26.002653,20.209936,47.191551000000004,65.230003,63.400002,53.140682,60.591721,46.699696,63.963871,40.82,90.840942,25.344606,133.65858500000002,15.84,170.342361,33.225231,276.459991,54.029999,189.940002,63.099136,30.416437,16.700295999999998,16.320786,73.014046,242.5,33.268364,135.565552,120.461479,101.307312,80.204399,56.990883,56.26831800000001,85.060715,64.854439,102.312668,75.934097,44.084076,34.57,74.174339,91.97994200000001,13.8,15.5,226.270004,73.407692,32.033474,170.517349,112.94686899999999,167.240616,82.020035
